,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.61,0,-3.05,-1.83,0.61,0,0,0,0,1.23,0,0.61,1.22,0,-0.61,-0.61,0,-1.23,-0.61,0,-0.61,0,-3.05,-1.83,0.61,0,0,0,0,1.23,0,0.61,1.22,0,-0.61,-0.61,0,-1.23,-0.61,0
2,-0.61,0,-6.71,-3.06,1.83,6.72,0,0,0,0.62,0.61,0,0.61,0,0,1.23,0,-1.84,-0.61,0,-0.61,0,-6.71,-3.06,1.83,6.72,0,0,0,0.62,0.61,0,0.61,0,0,1.23,0,-1.84,-0.61,0
3,-1.221,0.61,-8.55,-4.28,1.83,9.77,0,0,1.22,2.45,0,1.22,1.83,0,-0.61,4.28,0.61,-2.45,-1.221,1.22,-1.221,0.61,-8.55,-4.28,1.83,9.77,0,0,1.22,2.45,0,1.22,1.83,0,-0.61,4.28,0.61,-2.45,-1.221,1.22
4,-1.829,0,-10.38,-5.5,0.61,7.33,0.61,0.61,3.05,4.28,-1.22,3.06,3.06,3.05,0,4.89,1.22,-2.45,-1.829,3.05,-1.829,0,-10.38,-5.5,0.61,7.33,0.61,0.61,3.05,4.28,-1.22,3.06,3.06,3.05,0,4.89,1.22,-2.45,-1.829,3.05
5,-1.829,0,-12.21,-6.11,0,4.89,-0.61,0,1.22,4.89,-1.83,3.67,3.06,4.88,0,4.28,2.44,-3.06,-1.829,1.22,-1.829,0,-12.21,-6.11,0,4.89,-0.61,0,1.22,4.89,-1.83,3.67,3.06,4.88,0,4.28,2.44,-3.06,-1.829,1.22
6,-1.829,1.22,-13.43,-7.33,-0.61,2.45,-1.83,-1.83,0,4.89,-3.05,3.06,1.83,4.27,0,3.06,2.44,-2.45,-1.829,0,-1.829,1.22,-13.43,-7.33,-0.61,2.45,-1.83,-1.83,0,4.89,-3.05,3.06,1.83,4.27,0,3.06,2.44,-2.45,-1.829,0
7,-1.829,0.61,-14.65,-7.33,-1.22,0.61,-2.44,-3.05,-0.62,4.89,-3.05,3.06,-0.61,2.44,-0.61,3.06,1.83,-2.45,-1.829,-0.62,-1.829,0.61,-14.65,-7.33,-1.22,0.61,-2.44,-3.05,-0.62,4.89,-3.05,3.06,-0.61,2.44,-0.61,3.06,1.83,-2.45,-1.829,-0.62
8,-1.829,1.22,-15.26,-7.94,-2.44,-1.22,-4.28,-4.27,-1.23,4.28,-3.05,1.83,-2.44,1.83,-0.61,2.45,1.83,-1.84,-1.829,-1.23,-1.829,1.22,-15.26,-7.94,-2.44,-1.22,-4.28,-4.27,-1.23,4.28,-3.05,1.83,-2.44,1.83,-0.61,2.45,1.83,-1.84,-1.829,-1.23
9,-1.829,1.83,-17.09,-7.94,-1.83,-2.44,-4.89,-6.11,-1.84,4.28,-3.66,0.61,-4.88,1.22,-1.83,1.23,1.22,-2.45,-1.829,-1.84,-1.829,1.83,-17.09,-7.94,-1.83,-2.44,-4.89,-6.11,-1.84,4.28,-3.66,0.61,-4.88,1.22,-1.83,1.23,1.22,-2.45,-1.829,-1.84
